Item,Amount,Cat,Month,Who
Art+and+Craft,20,stationery,3,jane
Office+Works,7.5,stationery,6,bob
Freezer+packs,25,supplies,5,jane
Dick+Smiths,100,equipment,4,bob
MongoDB,20,books,2,bob
milk,18,supplies,1,jane
Certifying+copies,5,stationery,5,bob
Skewers,5.5,supplies,4,jane
Aus+Post,38,stationery,1,jane
Fridge,150,equipment,1,jane
Various,9,stationery,6,bob
Coles,72,supplies,4,jane
Coles,18,supplies,2,jane
Woolworths,81,supplies,1,jane
Bags,8,supplies,4,jane
Certifying+Docs,5,stationery,5,bob
Coles,14,supplies,5,jane
Woolworths,10,stationery,12,bob
Milk,10,supplies,5,jane
Coles,45,supplies,4,jane
Screw+driver+and+bits,12,equipment,2,bob
Flour,13,supplies,5,jane
nightingales,16,stationery,4,bob
Matchbox,22,equipment,3,jane
Big+Bubble,15,supplies,2,jane
Big+Bubble,91,supplies,4,jane
Red+Dot,8,stationery,2,jane
Coles,13,supplies,2,jane
Woolworths,31,supplies,6,jane
Smoke+Alarm,17,equipment,6,bob
Office+Works,11,stationery,4,bob
Woolworths,100,supplies,3,jane
Eggs,39,supplies,4,jane
Woolworths,5,supplies,4,jane
Red+Dot,20,stationery,1,bob
Aus+Post,15,stationery,1,jane
Mitre10,41,supplies,3,jane
Nightingales,17,stationery,12,jane
Aus+Post,20,stationery,9,jane
Wireless+Mouse,20,equipment,2,bob
Flour,8,supplies,2,jane
Tools,45,equipment,3,bob
Pest+control,6,supplies,3,jane
Woolworths,12,stationery,1,bob
Reject+Shop,35,stationery,5,bob
Computer+Magazine,21,books,10,bob
Batteries,8,stationery,3,bob
Coles,50,supplies,4,jane
Kitchen+Warehouse,141,supplies,2,jane
Woolworth,4,supplies,1,jane
bigw,36,equipment,3,jane
Woolworths,17,stationery,5,bob
Woolworths,10,supplies,5,jane
Kmart,22,supplies,2,jane
Nightingales,7,stationery,3,bob
Woolworths,13,supplies,4,jane
Matchbox,3,equipment,3,jane
Reject+Shop,35,equipment,5,jane
Woolworth,6.5,supplies,5,jane
Coles,7,supplies,4,jane
Europlace,31,supplies,2,jane
Printer+Cartridges,62,stationery,6,bob
Bulbs,6,stationery,5,bob
Reject+Shop,40,stationery,5,jane
Coles,15,supplies,2,jane
Kitchen+Warehouse,10,supplies,2,jane
Lucky+Charm,13.5,stationery,4,bob
bigw,18,stationery,5,bob
Woolworths,10,supplies,1,jane
Microwave,150,equipment,3,jane
Woolworths,40,supplies,4,jane
Red+Dot,33,supplies,1,jane
Staples,8.5,stationery,11,bob
Woolworths,24,supplies,3,jane
Woolworths,20,supplies,5,jane
Woolworths,20,supplies,3,jane
Woolworths,75,supplies,4,jane
Woolworths,75,supplies,2,jane
Phone,30,telephone,2,bob
Woolworths,40,supplies,4,jane
Woolworths,28,supplies,3,jane
Printer+Cartridges,85,supplies,3,bob
Woolworths,87,supplies,3,jane
Woolworths,42,supplies,5,jane
Reject+Shop,50,supplies,3,jane
Woolworths,27,supplies,3,jane
Kitchen+Warehouse,40,supplies,3,jane
Red+Dot,30,stationery,4,bob
Red+Dot,30,supplies,4,jane
Big+Bubble,27,supplies,2,jane
Woolworths,6,supplies,4,jane
